Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Year,bins
1,Derrick Henry,25,TEN,RB,15,15,303,1540,16,73,49.2,74,5.1,102.7,20.2,5,2019,"(1389.0, 1708.0]"
2,Ezekiel Elliott,24,DAL,RB,16,16,301,1357,12,78,54.8,33,4.5,84.8,18.8,3,2019,"(1070.0, 1389.0]"
3,Nick Chubb,24,CLE,RB,16,16,298,1494,8,62,43.6,88,5.0,93.4,18.6,3,2019,"(1389.0, 1708.0]"
4,Christian McCaffrey,23,CAR,RB,16,16,287,1387,15,57,46.3,84,4.8,86.7,17.9,1,2019,"(1070.0, 1389.0]"
5,Chris Carson,25,SEA,RB,15,15,278,1230,7,75,53.6,59,4.4,82.0,18.5,7,2019,"(1070.0, 1389.0]"
6,Joe Mixon,23,CIN,RB,16,15,278,1137,5,56,45.3,41,4.1,71.1,17.4,0,2019,"(1070.0, 1389.0]"
7,Leonard Fournette,24,JAX,RB,15,15,265,1152,3,55,41.1,81,4.3,76.8,17.7,1,2019,"(1070.0, 1389.0]"
8,Dalvin Cook,24,MIN,RB,14,14,250,1135,13,60,47.6,75,4.5,81.1,17.9,4,2019,"(1070.0, 1389.0]"
9,Marlon Mack,23,IND,RB,14,12,247,1091,8,67,51.0,63,4.4,77.9,17.6,0,2019,"(1070.0, 1389.0]"
10,Sony Michel,24,NWE,RB,16,14,247,912,7,55,47.0,26,3.7,57.0,15.4,2,2019,"(752.0, 1070.0]"
11,Le'Veon Bell,27,NYJ,RB,15,15,245,789,3,36,40.4,19,3.2,52.6,16.3,1,2019,"(752.0, 1070.0]"
12,Carlos Hyde,29,HOU,RB,16,14,245,1070,6,55,51.4,58,4.4,66.9,15.3,4,2019,"(752.0, 1070.0]"
13,Josh Jacobs,21,OAK,RB,13,13,242,1150,7,53,49.6,51,4.8,88.5,18.6,1,2019,"(1070.0, 1389.0]"
14,David Montgomery,22,CHI,RB,16,8,242,889,6,50,43.4,55,3.7,55.6,15.1,2,2019,"(752.0, 1070.0]"
15,Aaron Jones,25,GNB,RB,16,16,236,1084,16,55,54.2,56,4.6,67.8,14.8,3,2019,"(1070.0, 1389.0]"
16,Phillip Lindsay,25,DEN,RB,16,16,224,1011,7,38,48.7,40,4.5,63.2,14.0,0,2019,"(752.0, 1070.0]"
17,Todd Gurley,25,LAR,RB,15,15,223,857,12,51,46.6,25,3.8,57.1,14.9,3,2019,"(752.0, 1070.0]"
18,Saquon Barkley,22,NYG,RB,13,13,217,1003,6,45,43.3,68,4.6,77.2,16.7,1,2019,"(752.0, 1070.0]"
19,Adrian Peterson,34,WAS,RB,15,15,211,898,5,41,46.0,32,4.3,59.9,14.1,3,2019,"(752.0, 1070.0]"
20,Mark Ingram,30,BAL,RB,15,15,202,1018,10,53,58.4,53,5.0,67.9,13.5,2,2019,"(752.0, 1070.0]"
21,Devonta Freeman,27,ATL,RB,14,14,184,656,2,31,41.8,28,3.6,46.9,13.1,3,2019,"(433.0, 752.0]"
22,Miles Sanders,22,PHI,RB,16,11,179,818,3,30,44.7,65,4.6,51.1,11.2,2,2019,"(752.0, 1070.0]"
23,Lamar Jackson,22,BAL,QB,15,15,176,1206,7,71,58.0,47,6.9,80.4,11.7,9,2019,"(1070.0, 1389.0]"
24,Ronald Jones II,22,TAM,RB,16,9,172,724,6,34,43.0,49,4.2,45.3,10.8,3,2019,"(433.0, 752.0]"
25,Alvin Kamara,24,NOR,RB,14,9,171,797,5,32,50.9,40,4.7,56.9,12.2,4,2019,"(752.0, 1070.0]"
26,Kenyan Drake,25,2TM,RB,14,10,170,817,8,48,48.8,80,4.8,58.4,12.1,2,2019,"(752.0, 1070.0]"
26,Kenyan Drake,25,MIA,RB,6,2,47,174,0,6,42.6,11,3.7,29.0,7.8,2,2019,"(111.0, 433.0]"
26,Kenyan Drake,25,ARI,RB,8,8,123,643,8,42,51.2,80,5.2,80.4,15.4,0,2019,"(433.0, 752.0]"
27,Frank Gore,36,BUF,RB,16,8,166,599,2,30,41.6,41,3.6,37.4,10.4,0,2019,"(433.0, 752.0]"
28,Melvin Gordon,26,LAC,RB,12,11,162,612,8,39,49.4,24,3.8,51.0,13.5,4,2019,"(433.0, 752.0]"
29,Peyton Barber,25,TAM,RB,16,7,154,470,6,23,38.3,17,3.1,29.4,9.6,1,2019,"(433.0, 752.0]"
30,Devin Singletary,22,BUF,RB,12,8,151,775,2,37,49.0,38,5.1,64.6,12.6,4,2019,"(752.0, 1070.0]"
1,Ezekiel Elliott,23,DAL,RB,15,15,304,1434,6,74,49.0,41,4.7,95.6,20.3,6,2018,"(1389.0, 1708.0]"
2,Saquon Barkley,21,NYG,RB,16,16,261,1307,11,50,39.8,78,5.0,81.7,16.3,0,2018,"(1070.0, 1389.0]"
3,David Johnson,27,ARI,RB,16,16,258,940,7,51,38.0,53,3.6,58.8,16.1,3,2018,"(752.0, 1070.0]"
4,Todd Gurley,24,LAR,RB,14,14,256,1251,17,70,55.9,36,4.9,89.4,18.3,1,2018,"(1070.0, 1389.0]"
5,Adrian Peterson,33,WAS,RB,16,16,251,1042,7,47,45.8,90,4.2,65.1,15.7,3,2018,"(752.0, 1070.0]"
6,Jordan Howard,24,CHI,RB,16,15,250,935,9,53,47.2,42,3.7,58.4,15.6,2,2018,"(752.0, 1070.0]"
7,Chris Carson,24,SEA,RB,14,14,247,1151,9,61,50.6,61,4.7,82.2,17.6,3,2018,"(1070.0, 1389.0]"
8,Joe Mixon,22,CIN,RB,14,13,237,1168,8,60,48.5,51,4.9,83.4,16.9,0,2018,"(1070.0, 1389.0]"
9,Peyton Barber,24,TAM,RB,16,16,234,871,5,41,42.3,28,3.7,54.4,14.6,1,2018,"(752.0, 1070.0]"
10,Christian McCaffrey,22,CAR,RB,16,16,219,1098,7,53,54.3,59,5.0,68.6,13.7,4,2018,"(1070.0, 1389.0]"
11,James Conner,23,PIT,RB,13,12,215,973,12,56,48.4,30,4.5,74.8,16.5,4,2018,"(752.0, 1070.0]"
12,Derrick Henry,24,TEN,RB,16,12,215,1059,12,50,50.2,99,4.9,66.2,13.4,1,2018,"(752.0, 1070.0]"
13,Lamar Miller,27,HOU,RB,14,14,210,973,5,36,42.4,97,4.6,69.5,15.0,1,2018,"(752.0, 1070.0]"
14,Sony Michel,23,NWE,RB,13,8,209,931,6,54,51.2,34,4.5,71.6,16.1,1,2018,"(752.0, 1070.0]"
15,Marlon Mack,22,IND,RB,12,10,195,908,9,50,52.8,49,4.7,75.7,16.3,2,2018,"(752.0, 1070.0]"
16,Alvin Kamara,23,NOR,RB,15,13,194,883,14,57,58.2,49,4.6,58.9,12.9,1,2018,"(752.0, 1070.0]"
17,Nick Chubb,23,CLE,RB,16,9,192,996,8,47,47.9,92,5.2,62.3,12.0,0,2018,"(752.0, 1070.0]"
18,Phillip Lindsay,24,DEN,RB,15,8,192,1037,9,49,49.5,65,5.4,69.1,12.8,0,2018,"(752.0, 1070.0]"
19,Kareem Hunt,23,KAN,RB,11,11,181,824,7,46,51.9,45,4.6,74.9,16.5,0,2018,"(752.0, 1070.0]"
20,Melvin Gordon,25,LAC,RB,12,12,175,885,10,47,51.4,34,5.1,73.8,14.6,1,2018,"(752.0, 1070.0]"
21,Doug Martin,29,OAK,RB,16,9,172,723,4,37,52.3,29,4.2,45.2,10.8,3,2018,"(433.0, 752.0]"
22,Carlos Hyde,28,2TM,RB,14,7,172,571,5,27,38.4,22,3.3,40.8,12.3,2,2018,"(433.0, 752.0]"
22,Carlos Hyde,28,CLE,RB,6,5,114,382,5,20,36.8,22,3.4,63.7,19.0,1,2018,"(111.0, 433.0]"
22,Carlos Hyde,28,JAX,RB,8,2,58,189,0,7,41.4,19,3.3,23.6,7.3,1,2018,"(111.0, 433.0]"
23,Tevin Coleman,25,ATL,RB,16,14,167,800,4,36,42.5,65,4.8,50.0,10.4,2,2018,"(752.0, 1070.0]"
24,LeSean McCoy,30,BUF,RB,14,13,161,514,3,22,36.0,28,3.2,36.7,11.5,0,2018,"(433.0, 752.0]"
25,Frank Gore,35,MIA,RB,14,14,156,722,0,25,51.3,39,4.6,51.6,11.1,1,2018,"(433.0, 752.0]"
26,Dion Lewis,28,TEN,RB,16,7,155,517,1,22,32.9,36,3.3,32.3,9.7,1,2018,"(433.0, 752.0]"
27,LeGarrette Blount,32,DET,RB,16,8,154,418,5,25,35.1,27,2.7,26.1,9.6,2,2018,"(111.0, 433.0]"
28,Matt Breida,23,SFO,RB,14,13,153,814,3,36,45.1,66,5.3,58.1,10.9,1,2018,"(752.0, 1070.0]"
29,Alfred Blue,27,HOU,RB,16,2,150,499,2,25,37.3,17,3.3,31.2,9.4,0,2018,"(433.0, 752.0]"
30,Lamar Jackson,21,BAL,QB,16,7,147,695,5,45,51.0,39,4.7,43.4,9.2,12,2018,"(433.0, 752.0]"
1,Le'Veon Bell,25,PIT,RB,15,15,321,1291,9,71,45.5,27,4.0,86.1,21.4,3,2017,"(1070.0, 1389.0]"
2,LeSean McCoy,29,BUF,RB,16,16,287,1138,6,57,42.2,48,4.0,71.1,17.9,3,2017,"(1070.0, 1389.0]"
3,Melvin Gordon,24,LAC,RB,16,16,284,1105,8,61,39.8,87,3.9,69.1,17.8,1,2017,"(1070.0, 1389.0]"
4,Todd Gurley,23,LAR,RB,15,15,279,1305,13,69,50.5,57,4.7,87.0,18.6,5,2017,"(1070.0, 1389.0]"
5,Jordan Howard,23,CHI,RB,16,16,276,1122,9,65,42.4,53,4.1,70.1,17.3,1,2017,"(1070.0, 1389.0]"
6,Kareem Hunt,22,KAN,RB,16,16,272,1327,8,63,43.8,69,4.9,82.9,17.0,1,2017,"(1070.0, 1389.0]"
7,Leonard Fournette,22,JAX,RB,13,13,268,1040,9,51,43.3,90,3.9,80.0,20.6,2,2017,"(752.0, 1070.0]"
8,Frank Gore,34,IND,RB,16,16,261,961,3,49,42.9,21,3.7,60.1,16.3,3,2017,"(752.0, 1070.0]"
9,C.J. Anderson,26,DEN,RB,16,16,245,1007,3,47,40.4,40,4.1,62.9,15.3,1,2017,"(752.0, 1070.0]"
10,Ezekiel Elliott,22,DAL,RB,10,10,242,983,7,57,54.1,30,4.1,98.3,24.2,1,2017,"(752.0, 1070.0]"
11,Carlos Hyde,27,SFO,RB,16,16,240,938,8,48,43.8,61,3.9,58.6,15.0,2,2017,"(752.0, 1070.0]"
12,Lamar Miller,26,HOU,RB,16,13,238,888,3,45,43.7,21,3.7,55.5,14.9,1,2017,"(752.0, 1070.0]"
13,Mark Ingram,28,NOR,RB,16,12,230,1124,12,52,47.4,72,4.9,70.3,14.4,3,2017,"(1070.0, 1389.0]"
14,Latavius Murray,27,MIN,RB,16,11,216,842,8,43,43.1,46,3.9,52.6,13.5,1,2017,"(752.0, 1070.0]"
15,Alex Collins,23,BAL,RB,15,12,212,973,6,53,50.5,50,4.6,64.9,14.1,4,2017,"(752.0, 1070.0]"
16,Jay Ajayi,24,2TM,RB,14,8,208,873,1,45,41.8,71,4.2,62.4,14.9,3,2017,"(752.0, 1070.0]"
16,Jay Ajayi,24,MIA,RB,7,7,138,465,0,29,42.0,21,3.4,66.4,19.7,1,2017,"(433.0, 752.0]"
16,Jay Ajayi,24,PHI,RB,7,1,70,408,1,16,41.4,71,5.8,58.3,10.0,2,2017,"(111.0, 433.0]"
17,Marshawn Lynch,31,OAK,RB,15,15,207,891,7,45,47.8,51,4.3,59.4,13.8,1,2017,"(752.0, 1070.0]"
18,Isaiah Crowell,24,CLE,RB,16,16,206,853,2,39,40.3,59,4.1,53.3,12.9,1,2017,"(752.0, 1070.0]"
19,Jonathan Stewart,30,CAR,RB,15,10,198,680,6,42,42.4,60,3.4,45.3,13.2,3,2017,"(433.0, 752.0]"
20,Devonta Freeman,25,ATL,RB,14,14,196,865,7,55,49.5,44,4.4,61.8,14.0,4,2017,"(752.0, 1070.0]"
21,DeMarco Murray,29,TEN,RB,15,15,184,659,6,33,37.0,75,3.6,43.9,12.3,1,2017,"(433.0, 752.0]"
22,Dion Lewis,27,NWE,RB,16,8,180,896,6,49,54.4,44,5.0,56.0,11.3,0,2017,"(752.0, 1070.0]"
23,Joe Mixon,21,CIN,RB,14,7,178,626,4,39,41.0,25,3.5,44.7,12.7,3,2017,"(433.0, 752.0]"
24,Bilal Powell,29,NYJ,RB,15,10,178,772,5,32,33.7,75,4.3,51.5,11.9,1,2017,"(752.0, 1070.0]"
25,Derrick Henry,23,TEN,RB,16,2,176,744,5,40,45.5,75,4.2,46.5,11.0,1,2017,"(433.0, 752.0]"
26,Samaje Perine,22,WAS,RB,16,8,175,603,1,23,41.1,30,3.4,37.7,10.9,2,2017,"(433.0, 752.0]"
27,LeGarrette Blount,31,PHI,RB,16,11,173,766,2,33,39.3,68,4.4,47.9,10.8,1,2017,"(752.0, 1070.0]"
28,Orleans Darkwa,25,NYG,RB,15,11,171,751,5,35,42.7,75,4.4,50.1,11.4,1,2017,"(433.0, 752.0]"
29,Ameer Abdullah,24,DET,RB,14,11,165,552,4,26,32.7,34,3.3,39.4,11.8,2,2017,"(433.0, 752.0]"
30,Tevin Coleman,24,ATL,RB,15,3,156,628,5,27,39.1,52,4.0,41.9,10.4,1,2017,"(433.0, 752.0]"
1,Ezekiel Elliott,21,DAL,RB,15,15,322,1631,15,95,55.3,60,5.1,108.7,21.5,5,2016,"(1389.0, 1708.0]"
2,LeGarrette Blount,30,NWE,RB,16,8,299,1161,18,68,42.5,44,3.9,72.6,18.7,2,2016,"(1070.0, 1389.0]"
3,David Johnson,25,ARI,RB,16,16,293,1239,16,73,48.8,58,4.2,77.4,18.3,5,2016,"(1070.0, 1389.0]"
4,DeMarco Murray,28,TEN,RB,16,16,293,1287,9,67,50.2,75,4.4,80.4,18.3,3,2016,"(1070.0, 1389.0]"
5,Todd Gurley,22,LAR,RB,16,16,278,885,6,49,40.3,24,3.2,55.3,17.4,2,2016,"(752.0, 1070.0]"
6,Lamar Miller,25,HOU,RB,14,14,268,1073,5,55,42.9,45,4.0,76.6,19.1,2,2016,"(1070.0, 1389.0]"
7,Frank Gore,33,IND,RB,16,16,263,1025,4,50,47.9,22,3.9,64.1,16.4,2,2016,"(752.0, 1070.0]"
8,Le'Veon Bell,24,PIT,RB,12,12,261,1268,7,70,53.3,44,4.9,105.7,21.8,4,2016,"(1070.0, 1389.0]"
9,Jay Ajayi,23,MIA,RB,15,12,260,1272,8,63,42.7,62,4.9,84.8,17.3,4,2016,"(1070.0, 1389.0]"
10,Melvin Gordon,23,SDG,RB,13,11,254,997,10,0,0.0,48,3.9,76.7,19.5,2,2016,"(752.0, 1070.0]"
11,Jordan Howard,22,CHI,RB,15,13,252,1313,6,73,48.8,69,5.2,87.5,16.8,2,2016,"(1070.0, 1389.0]"
12,LeSean McCoy,28,BUF,RB,15,15,234,1267,13,56,49.6,75,5.4,84.5,15.6,3,2016,"(1070.0, 1389.0]"
13,Devonta Freeman,24,ATL,RB,16,16,227,1079,11,66,49.3,75,4.8,67.4,14.2,1,2016,"(1070.0, 1389.0]"
14,Jeremy Hill,24,CIN,RB,15,13,222,839,9,46,43.7,74,3.8,55.9,14.8,0,2016,"(752.0, 1070.0]"
15,Matt Forte,31,NYJ,RB,14,13,218,813,7,36,40.4,32,3.7,58.1,15.6,1,2016,"(752.0, 1070.0]"
16,Jonathan Stewart,29,CAR,RB,13,13,218,824,9,49,42.7,47,3.8,63.4,16.8,3,2016,"(752.0, 1070.0]"
17,Carlos Hyde,26,SFO,RB,13,13,217,988,6,48,47.5,47,4.6,76.0,16.7,5,2016,"(752.0, 1070.0]"
18,Spencer Ware,25,KAN,RB,14,14,214,921,3,50,50.5,46,4.3,65.8,15.3,4,2016,"(752.0, 1070.0]"
19,Mark Ingram,27,NOR,RB,16,14,205,1043,6,50,57.1,75,5.1,65.2,12.8,2,2016,"(752.0, 1070.0]"
20,Isaiah Crowell,23,CLE,RB,16,16,198,952,7,45,40.4,85,4.8,59.5,12.4,2,2016,"(752.0, 1070.0]"
21,Latavius Murray,26,OAK,RB,14,12,195,788,12,52,47.7,42,4.0,56.3,13.9,2,2016,"(752.0, 1070.0]"
22,Terrance West,25,BAL,RB,16,13,193,774,5,38,41.5,41,4.0,48.4,12.1,2,2016,"(752.0, 1070.0]"
23,Rashad Jennings,31,NYG,RB,13,12,181,593,3,29,36.5,25,3.3,45.6,13.9,1,2016,"(433.0, 752.0]"
24,Devontae Booker,24,DEN,RB,16,6,174,612,4,31,43.1,18,3.5,38.3,10.9,4,2016,"(433.0, 752.0]"
25,Robert Kelley,24,WAS,RB,15,9,168,704,6,30,46.4,66,4.2,46.9,11.2,0,2016,"(433.0, 752.0]"
26,Jerick McKinnon,24,MIN,RB,15,7,159,539,2,21,37.1,36,3.4,35.9,10.6,0,2016,"(433.0, 752.0]"
27,Ryan Mathews,29,PHI,RB,13,8,155,661,8,40,51.0,30,4.3,50.8,11.9,3,2016,"(433.0, 752.0]"
28,Christine Michael,26,2TM,RB,15,7,148,583,7,34,48.0,42,3.9,38.9,9.9,2,2016,"(433.0, 752.0]"
28,Christine Michael,26,SEA,RB,9,7,117,469,6,27,48.7,41,4.0,52.1,13.0,2,2016,"(433.0, 752.0]"
28,Christine Michael,26,GNB,RB,6,0,31,114,1,7,45.2,42,3.7,19.0,5.2,0,2016,"(111.0, 433.0]"
29,Doug Martin,27,TAM,RB,8,8,144,421,3,24,41.0,17,2.9,52.6,18.0,1,2016,"(111.0, 433.0]"
30,Tim Hightower,30,NOR,RB,16,1,133,548,4,32,53.4,30,4.1,34.3,8.3,0,2016,"(433.0, 752.0]"
1,Adrian Peterson,30,MIN,RB,16,16,327,1485,11,72,44.3,80,4.5,92.8,20.4,7,2015,"(1389.0, 1708.0]"
2,Doug Martin,26,TAM,RB,16,16,288,1402,6,68,46.2,84,4.9,87.6,18.0,5,2015,"(1389.0, 1708.0]"
3,Latavius Murray,25,OAK,RB,16,16,266,1066,6,49,38.0,54,4.0,66.6,16.6,4,2015,"(752.0, 1070.0]"
4,Devonta Freeman,23,ATL,RB,15,13,265,1056,11,71,45.7,39,4.0,70.4,17.7,3,2015,"(752.0, 1070.0]"
5,Frank Gore,32,IND,RB,16,16,260,967,6,48,39.2,37,3.7,60.4,16.3,4,2015,"(752.0, 1070.0]"
6,Chris Ivory,27,NYJ,RB,15,14,247,1070,7,51,40.9,58,4.3,71.3,16.5,4,2015,"(752.0, 1070.0]"
7,Jonathan Stewart,28,CAR,RB,13,13,242,989,6,43,42.6,44,4.1,76.1,18.6,3,2015,"(752.0, 1070.0]"
8,Darren McFadden,28,DAL,RB,16,10,239,1089,3,53,50.2,50,4.6,68.1,14.9,3,2015,"(1070.0, 1389.0]"
9,Todd Gurley,21,STL,RB,13,12,229,1106,10,47,40.2,71,4.8,85.1,17.6,3,2015,"(1070.0, 1389.0]"
10,Jeremy Hill,23,CIN,RB,16,15,223,794,11,47,46.2,38,3.6,49.6,13.9,3,2015,"(752.0, 1070.0]"
11,Matt Forte,30,CHI,RB,13,13,218,898,4,47,48.2,27,4.1,69.1,16.8,2,2015,"(752.0, 1070.0]"
12,Ronnie Hillman,24,DEN,RB,16,10,207,863,7,44,43.0,72,4.2,53.9,12.9,3,2015,"(752.0, 1070.0]"
13,LeSean McCoy,27,BUF,RB,12,12,203,895,3,42,45.8,48,4.4,74.6,16.9,2,2015,"(752.0, 1070.0]"
14,Alfred Morris,27,WAS,RB,16,16,202,751,1,35,38.1,48,3.7,46.9,12.6,0,2015,"(433.0, 752.0]"
15,DeAngelo Williams,32,PIT,RB,16,10,200,907,11,53,48.0,55,4.5,56.7,12.5,4,2015,"(752.0, 1070.0]"
16,Chris Johnson,30,ARI,RB,11,9,196,814,3,33,43.4,62,4.2,74.0,17.8,2,2015,"(752.0, 1070.0]"
17,Rashad Jennings,30,NYG,RB,16,16,195,863,3,42,55.9,38,4.4,53.9,12.2,3,2015,"(752.0, 1070.0]"
18,Lamar Miller,24,MIA,RB,16,16,194,872,8,41,42.3,85,4.5,54.5,12.1,1,2015,"(752.0, 1070.0]"
19,DeMarco Murray,27,PHI,RB,15,8,193,702,6,48,42.0,54,3.6,46.8,12.9,2,2015,"(433.0, 752.0]"
20,Eddie Lacy,25,GNB,RB,15,12,187,758,3,39,47.1,29,4.1,50.5,12.5,4,2015,"(752.0, 1070.0]"
21,Isaiah Crowell,22,CLE,RB,16,9,185,706,4,35,41.1,54,3.8,44.1,11.6,0,2015,"(433.0, 752.0]"
22,Melvin Gordon,22,SDG,RB,14,12,184,641,0,36,42.4,27,3.5,45.8,13.1,6,2015,"(433.0, 752.0]"
23,Alfred Blue,24,HOU,RB,16,9,183,698,2,34,43.2,41,3.8,43.6,11.4,2,2015,"(433.0, 752.0]"
24,T.J. Yeldon,22,JAX,RB,12,12,182,740,2,29,41.2,45,4.1,61.7,15.2,0,2015,"(433.0, 752.0]"
25,Mark Ingram,26,NOR,RB,12,10,166,769,6,47,43.4,70,4.6,64.1,13.8,2,2015,"(752.0, 1070.0]"
26,LeGarrette Blount,29,NWE,RB,12,6,165,703,6,39,49.1,38,4.3,58.6,13.8,1,2015,"(433.0, 752.0]"
27,Charcandrick West,24,KAN,RB,15,9,160,634,4,36,42.5,38,4.0,42.3,10.7,1,2015,"(433.0, 752.0]"
28,Giovani Bernard,24,CIN,RB,16,1,154,730,2,36,47.4,28,4.7,45.6,9.6,2,2015,"(433.0, 752.0]"
29,C.J. Anderson,24,DEN,RB,15,6,152,720,5,34,38.8,48,4.7,48.0,10.1,2,2015,"(433.0, 752.0]"
30,Justin Forsett,30,BAL,RB,10,10,151,641,2,41,46.4,33,4.2,64.1,15.1,0,2015,"(433.0, 752.0]"
